,semestre,año,costo total comb,Tesla,Hyundai 39,Hyundai 64,Kia N39,Kia E39
0,2,2024,369214.3764,368771.3192,368402.1048,369140.5336,369878.9623,369878.9623
1,1,2025,358936.9449,358506.2206,358147.2836,358865.1575,359583.0314,359583.0314
2,2,2025,348659.5134,348241.1219,347892.4624,348589.7815,349287.1005,349287.1005
3,1,2026,338382.0818,337976.0233,337637.6412,338314.4054,338991.1696,338991.1696
4,2,2026,328104.6503,327710.9247,327382.8201,328039.0294,328695.2387,328695.2387
5,1,2027,317827.2187,317445.8261,317127.9989,317763.6533,318399.3077,318399.3077
6,2,2027,307549.7872,307180.7275,306873.1777,307488.2773,308103.3768,308103.3768
7,1,2028,297272.3557,296915.6288,296618.3565,297212.9012,297807.4459,297807.4459
8,2,2028,286994.9241,286650.5302,286363.5353,286937.5251,287511.515,287511.515
9,1,2029,276717.4926,276385.4316,276108.7141,276662.1491,277215.5841,277215.5841
10,2,2029,266440.0611,266120.333,265853.8929,266386.773,266919.6532,266919.6532
11,1,2030,256162.6295,255855.2344,255599.0717,256111.397,256623.7223,256623.7223
12,2,2030,245885.198,245590.1357,245344.2505,245836.0209,246327.7913,246327.7913
13,1,2031,235607.7664,235325.0371,235089.4294,235560.6449,236031.8604,236031.8604
14,2,2031,225330.3349,225059.9385,224834.6082,225285.2688,225735.9295,225735.9295
15,1,2032,215052.9034,214794.8399,214579.787,215009.8928,215439.9986,215439.9986
16,2,2032,204775.4718,204529.7413,204324.9658,204734.5167,205144.0677,205144.0677
17,1,2033,194498.0403,194264.6426,194070.1446,194459.1407,194848.1368,194848.1368
18,2,2033,184220.6088,183999.544,183815.3234,184183.7646,184552.2058,184552.2058
19,1,2034,173943.1772,173734.4454,173560.5022,173908.3886,174256.2749,174256.2749
20,2,2034,165378.6509,165180.1966,165014.8179,165345.5752,165676.3325,165676.3325
